country,iso3,indicator_abbr,dimension,year,mean,SII,SII_se,RII,CI,CI_se,CI_Wagstaff,n_sub,gdp_pc_usd,gini,urban_pct,health_exp_pct
Ghana,GHA,smoked,education,2008,3.0532486347932686,-5.772272560899532,2.2706039168230747,0.028136306491034074,-0.24832817103285434,0.0976833494703931,-0.2561490380398419,4,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,education,2014,1.457474557105164,-3.1458995579071853,0.7494172931316261,-0.03810529782063814,-0.2817400997485153,0.06711622511579118,-0.2859071233279718,4,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,education,2022,1.9155269584820587,-1.4863315199201401,0.20845444118061707,0.4409540035935173,-0.09909298733568893,0.013897554497861168,-0.10102820993262011,4,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,residence,2003,3.7052837573385515,-3.948234915020344,5.323538950753448e-15,0.30481493283169825,-0.13271847391608754,1.6636059221104525e-16,-0.13782529207691802,2,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,residence,2008,3.0401983728964668,-3.4489632067633993,2.4481842625423404e-15,0.2761395888213488,-0.1414092855286931,8.066881966927642e-17,-0.14584320837674283,2,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,residence,2014,1.4341726347531099,-2.138955888254031,1.5583806859195838e-15,0.14566517137116672,-0.18549748896841578,1.9479758573994798e-16,-0.18819655242281255,2,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,residence,2022,1.9154713259123575,-0.4506040376373752,2.3381001390337127e-15,0.7895134303935447,-0.028930208439013314,1.1193068635914194e-16,-0.029495180157455565,2,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,wealth,2003,3.688337736033657,-5.250949305857816,1.4083629257214,0.1683393515085726,-0.2271183854469448,0.06091567356332064,-0.23581607887160094,5,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,wealth,2008,3.0358591486516606,-6.048736913270738,2.4074240031764953,0.0018960825838069304,-0.3180462224618818,0.12658380105679326,-0.3280039607110686,5,2390.77237652715,43.5,58.3654868038581,2.94686937
Ghana,GHA,smoked,wealth,2014,1.4420159831121833,-3.3372338390434373,0.551076656026071,-0.0728472126099043,-0.3693103285666785,0.06098412958702038,-0.3747137608896277,5,2390.77237652715,43.5,58.3654868038581,2.94686937
