country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source,gdp_pc_usd,gini,urban_pct,health_exp_pct
Azerbaijan,AZE,2006,smoked,residence,Urban,2,49.2,1274.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,wealth,Fourth,4,47.7,451.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,wealth,Highest,5,45.8,499.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,wealth,Lowest,1,57.3,410.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,wealth,Middle,3,50.7,452.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Azerbaijan,AZE,2006,smoked,wealth,Second,2,44.6,433.0,DHS,7283.8499076179,,58.573795837717,4.27113533
Bangladesh,BGD,2004,smoked,education,Higher,4,41.2,520.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,education,No education,1,75.1,980.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,education,Primary,2,64.2,1400.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,education,Secondary,3,42.7,1155.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,residence,Rural,1,57.4,3065.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,residence,Urban,2,58.7,990.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,wealth,Fourth,4,51.29999999999999,833.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,wealth,Highest,5,49.3,923.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,wealth,Lowest,1,71.7,678.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,wealth,Middle,3,58.0,793.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2004,smoked,wealth,Second,2,61.89999999999999,827.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,education,Higher,4,35.0,400.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,education,No education,1,73.4,964.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,education,Primary,2,63.900000000000006,1077.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,education,Secondary,3,51.39999999999999,787.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,residence,Rural,1,61.8,2486.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,residence,Urban,2,54.3,742.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,wealth,Fourth,4,56.9,634.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,wealth,Highest,5,46.4,654.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,wealth,Lowest,1,70.9,592.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,wealth,Middle,3,61.70000000000001,671.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Bangladesh,BGD,2007,smoked,wealth,Second,2,65.4,677.0,DHS,2593.41611680774,30.9,32.6783196323307,2.17014575
Benin,BEN,2001,smoked,education,Higher,4,0.0,53.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,education,No education,1,0.2,3984.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,education,Primary,2,0.0999999999999999,1371.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,education,Secondary,3,0.0,811.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,residence,Rural,1,0.2,3690.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,residence,Urban,2,0.1,2529.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,wealth,Fourth,4,0.0,1298.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,wealth,Highest,5,0.0,1530.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,wealth,Lowest,1,0.5,1104.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,wealth,Middle,3,0.1,1149.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2001,smoked,wealth,Second,2,0.2,1139.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,education,Higher,4,0.6,179.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,education,No education,1,0.2,11334.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,education,Primary,2,0.1,3550.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,education,Secondary,3,0.1,2731.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,residence,Rural,1,0.2,10434.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,residence,Urban,2,0.1,7360.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,wealth,Fourth,4,0.1,3805.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,wealth,Highest,5,0.1,4240.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,wealth,Lowest,1,0.4,3125.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,wealth,Middle,3,0.2,3397.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2006,smoked,wealth,Second,2,0.2,3227.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,education,Higher,4,1.864511278195489,665.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,education,No education,1,2.527533292177441,11339.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,education,Primary,2,2.744161412358134,3965.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,education,Secondary,3,1.4366653496641644,5062.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,residence,Rural,1,2.879880602334492,11223.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,residence,Urban,2,1.611642369252727,9809.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,wealth,Fourth,4,1.23052608311229,4524.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,wealth,Highest,5,1.2946098756125142,5306.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,wealth,Lowest,1,4.4596380350474005,3481.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,wealth,Middle,3,2.2648152802211614,3979.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2012,smoked,wealth,Second,2,2.996205237840727,3742.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,education,Higher,4,1.1822622107969152,778.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,education,No education,1,3.9475515119079474,11211.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,education,Primary,2,3.0540976645435243,4710.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,education,Secondary,3,1.505793450881612,5955.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
