country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source
NGA,NGA,2012,smokeless,sex,SEX_MLE,1,2.9,,GHO
EGY,EGY,2017,smokeless,sex,SEX_MLE,1,0.4,,GHO
BRN,BRN,2016,smokeless,sex,SEX_BTSX,1,1.9,,GHO
KGZ,KGZ,2013,smokeless,sex,SEX_BTSX,1,5.2,,GHO
TZA,TZA,2018,smokeless,sex,SEX_FMLE,1,2.3,,GHO
SEN,SEN,2017,smokeless,sex,SEX_MLE,1,0.1,,GHO
SWZ,SWZ,2014,smokeless,sex,SEX_FMLE,1,1.8,,GHO
WSM,WSM,2013,smokeless,sex,SEX_FMLE,1,0.5,,GHO
VNM,VNM,2020,smokeless,sex,SEX_BTSX,1,1.1,,GHO
KWT,KWT,2014,smokeless,sex,SEX_FMLE,1,0.0,,GHO
ZWE,ZWE,2011,smokeless,sex,SEX_FMLE,1,0.4,,GHO
PLW,PLW,2012,smokeless,sex,SEX_BTSX,1,38.3,,GHO
EGY,EGY,2017,smokeless,sex,SEX_FMLE,1,0.0,,GHO
BWA,BWA,2017,smokeless,sex,SEX_BTSX,1,4.3,,GHO
TZA,TZA,2018,smokeless,sex,SEX_MLE,1,2.1,,GHO
CHE,CHE,2022,smokeless,sex,SEX_FMLE,1,1.7,,GHO
BRA,BRA,2013,smokeless,sex,SEX_FMLE,1,0.2,,GHO
URY,URY,2017,smokeless,sex,SEX_MLE,1,0.3,,GHO
SWZ,SWZ,2014,smokeless,sex,SEX_MLE,1,2.7,,GHO
UGA,UGA,2014,smokeless,sex,SEX_BTSX,1,3.7,,GHO
YEM,YEM,2013,smokeless,sex,SEX_BTSX,1,11.3,,GHO
ERI,ERI,2010,smokeless,sex,SEX_FMLE,1,0.1,,GHO
MDG,MDG,2021,smokeless,sex,SEX_FMLE,1,9.8,,GHO
BEN,BEN,2018,smokeless,sex,SEX_FMLE,1,1.0,,GHO
VEN,VEN,2011,smokeless,sex,SEX_FMLE,1,0.9,,GHO
KHM,KHM,2021,smokeless,sex,SEX_BTSX,1,3.6,,GHO
YEM,YEM,2013,smokeless,sex,SEX_FMLE,1,5.9,,GHO
SLB,SLB,2015,smokeless,sex,SEX_BTSX,1,3.4,,GHO
THA,THA,2017,smokeless,sex,SEX_MLE,1,1.5,,GHO
SLV,SLV,2022,smokeless,sex,SEX_BTSX,1,2.0,,GHO
GEO,GEO,2019,smokeless,sex,SEX_FMLE,1,0.0,,GHO
IDN,IDN,2021,smokeless,sex,SEX_MLE,1,0.9,,GHO
THA,THA,2017,smokeless,sex,SEX_FMLE,1,2.7,,GHO
BTN,BTN,2019,smokeless,sex,SEX_MLE,1,20.3,,GHO
ZMB,ZMB,2018,smokeless,sex,SEX_MLE,1,0.5,,GHO
GMB,GMB,2010,smokeless,sex,SEX_BTSX,1,1.1,,GHO
